plasmid,start,end,direction,gene_name,type,product
DH5a_AziR_reorientated_DnaA,0,1404,=>,DnaA,CDS,Chromosomal replication initiator protein DnaA
DH5a_AziR_reorientated_DnaA,1408,2509,=>,DNA polymerase III beta subunit,CDS,DNA polymerase III beta subunit (EC 2.7.7.7)
DH5a_AziR_reorientated_DnaA,2508,3582,=>,DNA recombination and repair protein RecF,CDS,DNA recombination and repair protein RecF
DH5a_AziR_reorientated_DnaA,3610,6025,=>,gyrA,CDS,DNA gyrase subunit B (EC 5.99.1.3)
DH5a_AziR_reorientated_DnaA,6264,6663,=>,Uncharacterized protein YidB,CDS,Uncharacterized protein YidB
DH5a_AziR_reorientated_DnaA,6777,7590,=>,Sugar phosphatase YidA,CDS,Sugar phosphatase YidA (EC 3.1.3.23)
DH5a_AziR_reorientated_DnaA,7635,8292,<=,Uncharacterized protein YidX,CDS,Uncharacterized protein YidX
DH5a_AziR_reorientated_DnaA,8569,9259,=>,D-Galactonate repressor DgoR,CDS,D-Galactonate repressor DgoR
DH5a_AziR_reorientated_DnaA,9255,10134,=>,2-dehydro-3-deoxygalactonokinase,CDS,2-dehydro-3-deoxygalactonokinase (EC 2.7.1.58)
DH5a_AziR_reorientated_DnaA,10117,10735,=>,2-dehydro-3-deoxyphosphogalactonate aldolase,CDS,2-dehydro-3-deoxyphosphogalactonate aldolase (EC 4.1.2.21)
DH5a_AziR_reorientated_DnaA,10731,11880,=>,Galactonate dehydratase,CDS,Galactonate dehydratase (EC 4.2.1.6)
DH5a_AziR_reorientated_DnaA,11999,13292,=>,D-galactonate transporter,CDS,D-galactonate transporter
DH5a_AziR_reorientated_DnaA,13288,14353,<=,Uncharacterized protein YidS,CDS,Uncharacterized protein YidS
DH5a_AziR_reorientated_DnaA,14453,15668,=>,Uncharacterized protein YidR,CDS,Uncharacterized protein YidR
DH5a_AziR_reorientated_DnaA,15669,15873,<=,Outer membrane lipoprotein YidQ,CDS,Outer membrane lipoprotein YidQ
DH5a_AziR_reorientated_DnaA,15871,16048,=>,FIG00640033: hypothetical protein,CDS,FIG00640033: hypothetical protein
DH5a_AziR_reorientated_DnaA,16307,16721,=>,16 kDa heat shock protein A,CDS,16 kDa heat shock protein A
DH5a_AziR_reorientated_DnaA,16832,17261,=>,16 kDa heat shock protein B,CDS,16 kDa heat shock protein B
DH5a_AziR_reorientated_DnaA,17456,19118,=>,Putative transport protein YidE,CDS,Putative transport protein YidE
DH5a_AziR_reorientated_DnaA,19114,19831,<=,"Uncharacterized transcriptional regulator YidP,",CDS,"Uncharacterized transcriptional regulator YidP, GntR family"
DH5a_AziR_reorientated_DnaA,20126,21233,=>,"PTS system, maltose and glucose-specific IIC co",CDS,"PTS system, maltose and glucose-specific IIC component / PTS system, maltose and glucose-specific IIB component (EC 2.7.1.208)"
DH5a_AziR_reorientated_DnaA,21257,21743,=>,"PTS system, maltose and glucose-specific IIC co",CDS,"PTS system, maltose and glucose-specific IIC component / PTS system, maltose and glucose-specific IIB component (EC 2.7.1.208)"
DH5a_AziR_reorientated_DnaA,21742,22381,=>,Maltose-6'-phosphate glucosidase,CDS,Maltose-6'-phosphate glucosidase (EC 3.2.1.122)
DH5a_AziR_reorientated_DnaA,22380,22557,=>,Maltose-6'-phosphate glucosidase,CDS,Maltose-6'-phosphate glucosidase (EC 3.2.1.122)
DH5a_AziR_reorientated_DnaA,22553,23447,<=,"Uncharacterized transcriptional regulator YidL,",CDS,"Uncharacterized transcriptional regulator YidL, AraC family"
DH5a_AziR_reorientated_DnaA,23613,25329,=>,Uncharacterized symporter YidK,CDS,Uncharacterized symporter YidK
DH5a_AziR_reorientated_DnaA,25325,26819,=>,Uncharacterized sulfatase YidJ,CDS,Uncharacterized sulfatase YidJ
DH5a_AziR_reorientated_DnaA,26865,27315,<=,Inner membrane protein YidI,CDS,Inner membrane protein YidI
DH5a_AziR_reorientated_DnaA,27422,27770,=>,Inner membrane protein YidH,CDS,Inner membrane protein YidH
DH5a_AziR_reorientated_DnaA,27759,28122,=>,Inner membrane protein YidG,CDS,Inner membrane protein YidG
DH5a_AziR_reorientated_DnaA,28118,28616,=>,Uncharacterized protein YidF,CDS,Uncharacterized protein YidF
DH5a_AziR_reorientated_DnaA,28623,29808,<=,Multidrug efflux pump EmrD,CDS,Multidrug efflux pump EmrD (of MFS type)
DH5a_AziR_reorientated_DnaA,30087,30177,<=,hypothetical protein,CDS,hypothetical protein
DH5a_AziR_reorientated_DnaA,30741,30840,=>,hypothetical protein,CDS,hypothetical protein
DH5a_AziR_reorientated_DnaA,30945,32634,=>,Acetolactate synthase large subunit,CDS,Acetolactate synthase large subunit (EC 2.2.1.6)
DH5a_AziR_reorientated_DnaA,32637,32928,=>,Acetolactate synthase small subunit,CDS,Acetolactate synthase small subunit (EC 2.2.1.6)
DH5a_AziR_reorientated_DnaA,33003,33594,=>,Hexose-phosphate uptake two-component transcrip,CDS,Hexose-phosphate uptake two-component transcriptional response regulator UhpA
DH5a_AziR_reorientated_DnaA,33593,35096,=>,Hexose-phosphate uptake signal transduction his,CDS,Hexose-phosphate uptake signal transduction histidine-protein kinase/phosphatase UhpB
DH5a_AziR_reorientated_DnaA,35105,36425,=>,Periplasmic space glucose-6-phosphate sensor pr,CDS,Periplasmic space glucose-6-phosphate sensor protein UhpC
DH5a_AziR_reorientated_DnaA,36562,37954,=>,Hexose phosphate transport protein UhpT,CDS,Hexose phosphate transport protein UhpT
DH5a_AziR_reorientated_DnaA,37999,39766,<=,Adenine deaminase,CDS,Adenine deaminase (EC 3.5.4.2)
DH5a_AziR_reorientated_DnaA,39862,41275,=>,Adenine permease AdeQ,CDS,Adenine permease AdeQ
DH5a_AziR_reorientated_DnaA,41327,41780,=>,Uncharacterized protein YicN,CDS,Uncharacterized protein YicN
DH5a_AziR_reorientated_DnaA,41825,43181,=>,Purine ribonucleoside efflux pump NepI,CDS,Purine ribonucleoside efflux pump NepI
DH5a_AziR_reorientated_DnaA,43221,43515,<=,HAD phosphatase YigL,CDS,HAD phosphatase YigL
DH5a_AziR_reorientated_DnaA,43519,43639,<=,hypothetical protein,CDS,hypothetical protein
DH5a_AziR_reorientated_DnaA,43736,44555,=>,Lipoprotein 28,CDS,Lipoprotein 28 (NlpA)
DH5a_AziR_reorientated_DnaA,44558,45482,<=,Uncharacterized inner membrane transporter YicL,CDS,Uncharacterized inner membrane transporter YicL
DH5a_AziR_reorientated_DnaA,45592,46777,<=,Sugar efflux transporter C,CDS,Sugar efflux transporter C
DH5a_AziR_reorientated_DnaA,47158,47305,<=,Uncharacterized protein RhuM,CDS,Uncharacterized protein RhuM
DH5a_AziR_reorientated_DnaA,47800,49183,=>,Proposed xyloside/Na+ symporter YicJ,CDS,Proposed xyloside/Na+ symporter YicJ
DH5a_AziR_reorientated_DnaA,49192,51511,=>,alpha-xylosidase,CDS,alpha-xylosidase (EC 3.2.1.177)
DH5a_AziR_reorientated_DnaA,51563,53273,<=,Uncharacterized protein YicH,CDS,Uncharacterized protein YicH
DH5a_AziR_reorientated_DnaA,53393,54785,<=,Xanthine permease @ Xanthine:proton symporter XanP,CDS,Xanthine permease @ Xanthine:proton symporter XanP
DH5a_AziR_reorientated_DnaA,55064,56270,=>,Sodium/glutamate symporter,CDS,Sodium/glutamate symporter
DH5a_AziR_reorientated_DnaA,56438,58520,<=,ATP-dependent DNA helicase RecG,CDS,ATP-dependent DNA helicase RecG (EC 3.6.4.12)
DH5a_AziR_reorientated_DnaA,58525,59215,<=,tRNA,CDS,tRNA (guanosine(18)-2'-O)-methyltransferase (EC 2.1.1.34)
DH5a_AziR_reorientated_DnaA,59221,61330,<=,"Guanosine-3',5'-bis",CDS,"Guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase (EC 3.1.7.2) / GTP pyrophosphokinase (EC 2.7.6.5), (p)ppGpp synthetase II"
DH5a_AziR_reorientated_DnaA,61348,61624,<=,DNA-directed RNA polymerase omega subunit,CDS,DNA-directed RNA polymerase omega subunit (EC 2.7.7.6)
DH5a_AziR_reorientated_DnaA,61678,62302,<=,Guanylate kinase,CDS,Guanylate kinase (EC 2.7.4.8)
DH5a_AziR_reorientated_DnaA,62559,64242,=>,DNA ligase,CDS,DNA ligase (NAD(+)) (EC 6.5.1.2)
DH5a_AziR_reorientated_DnaA,64238,64856,<=,UPF0126 inner membrane protein YicG,CDS,UPF0126 inner membrane protein YicG
DH5a_AziR_reorientated_DnaA,65145,65970,<=,DNA-damage-inducible protein D,CDS,DNA-damage-inducible protein D
DH5a_AziR_reorientated_DnaA,66190,67054,<=,UPF0701 protein YicC,CDS,UPF0701 protein YicC
DH5a_AziR_reorientated_DnaA,67180,67897,=>,Ribonuclease PH,CDS,Ribonuclease PH (EC 2.7.7.56)
DH5a_AziR_reorientated_DnaA,67962,68604,=>,Orotate phosphoribosyltransferase,CDS,Orotate phosphoribosyltransferase (EC 2.4.2.10)
DH5a_AziR_reorientated_DnaA,68640,69237,<=,"Transcriptional regulator SlmA, TetR family",CDS,"Transcriptional regulator SlmA, TetR family"
DH5a_AziR_reorientated_DnaA,69343,69802,<=,Deoxyuridine 5'-triphosphate nucleotidohydrolase,CDS,Deoxyuridine 5'-triphosphate nucleotidohydrolase (EC 3.6.1.23)
DH5a_AziR_reorientated_DnaA,69779,71000,<=,Phosphopantothenoylcysteine decarboxylase,CDS,Phosphopantothenoylcysteine decarboxylase (EC 4.1.1.36) / Phosphopantothenoylcysteine synthetase (EC 6.3.2.5)
DH5a_AziR_reorientated_DnaA,71171,71840,=>,UPF0758 protein YicR,CDS,UPF0758 protein YicR
DH5a_AziR_reorientated_DnaA,72056,72293,=>,LSU ribosomal protein L28p @ LSU ribosomal prot,CDS,"LSU ribosomal protein L28p @ LSU ribosomal protein L28p, zinc-independent"
DH5a_AziR_reorientated_DnaA,72313,72481,=>,LSU ribosomal protein L33p @ LSU ribosomal prot,CDS,"LSU ribosomal protein L33p @ LSU ribosomal protein L33p, zinc-independent"
DH5a_AziR_reorientated_DnaA,72578,73388,=>,Formamidopyrimidine-DNA glycosylase,CDS,Formamidopyrimidine-DNA glycosylase (EC 3.2.2.23)
DH5a_AziR_reorientated_DnaA,73426,73906,<=,Phosphopantetheine adenylyltransferase,CDS,Phosphopantetheine adenylyltransferase (EC 2.7.7.3)
DH5a_AziR_reorientated_DnaA,73913,75191,<=,3-deoxy-D-manno-octulosonic acid transferase,CDS,3-deoxy-D-manno-octulosonic acid transferase (EC 2.4.99.12)(EC 2.4.99.13)
DH5a_AziR_reorientated_DnaA,75596,76667,=>,Lipopolysaccharide core heptosyltransferase III,CDS,Lipopolysaccharide core heptosyltransferase III
DH5a_AziR_reorientated_DnaA,76663,77788,=>,UDP-glucose:,CDS,"UDP-glucose:(heptosyl) LPS alpha1,3-glucosyltransferase WaaG"
DH5a_AziR_reorientated_DnaA,77780,78578,=>,Lipopolysaccharide core heptose,CDS,Lipopolysaccharide core heptose(I) kinase RfaP
DH5a_AziR_reorientated_DnaA,78614,79550,=>,Lipopolysaccharide core biosynthesis protein RfaS,CDS,Lipopolysaccharide core biosynthesis protein RfaS
DH5a_AziR_reorientated_DnaA,79593,80673,=>,"Lipopolysaccharide 1,6-galactosyltransferase",CDS,"Lipopolysaccharide 1,6-galactosyltransferase (EC 2.4.1.-)"
DH5a_AziR_reorientated_DnaA,80672,81692,=>,"Lipopolysaccharide 1,3-galactosyltransferase",CDS,"Lipopolysaccharide 1,3-galactosyltransferase (EC 2.4.1.44)"
DH5a_AziR_reorientated_DnaA,81731,82748,=>,UDP-glucose:,CDS,"UDP-glucose:(glucosyl)lipopolysaccharide alpha-1,2-glucosyltransferase (EC 2.4.1.58)"
DH5a_AziR_reorientated_DnaA,82765,83464,=>,Lipopolysaccharide core heptose,CDS,Lipopolysaccharide core heptose(II) kinase RfaY
DH5a_AziR_reorientated_DnaA,83534,84386,=>,Lipopolysaccharide core biosynthesis protein RfaZ,CDS,Lipopolysaccharide core biosynthesis protein RfaZ
DH5a_AziR_reorientated_DnaA,84418,85492,=>,"Lipopolysaccharide 1,2-N-acetylglucosaminetrans",CDS,"Lipopolysaccharide 1,2-N-acetylglucosaminetransferase (EC 2.4.1.56)"
DH5a_AziR_reorientated_DnaA,85523,86783,<=,O-antigen ligase,CDS,O-antigen ligase
DH5a_AziR_reorientated_DnaA,86792,87752,<=,Lipopolysaccharide core heptosyltransferase I,CDS,Lipopolysaccharide core heptosyltransferase I
DH5a_AziR_reorientated_DnaA,87755,88802,<=,ADP-heptose--lipooligosaccharide heptosyltransf,CDS,ADP-heptose--lipooligosaccharide heptosyltransferase II
DH5a_AziR_reorientated_DnaA,88811,89744,<=,ADP-L-glycero-D-manno-heptose-6-epimerase,CDS,ADP-L-glycero-D-manno-heptose-6-epimerase (EC 5.1.3.20)
DH5a_AziR_reorientated_DnaA,90032,90905,=>,Lipopolysaccharide biosynthesis associated prot,CDS,Lipopolysaccharide biosynthesis associated protein HtrL
DH5a_AziR_reorientated_DnaA,91179,92376,=>,2-amino-3-ketobutyrate coenzyme A ligase,CDS,2-amino-3-ketobutyrate coenzyme A ligase (EC 2.3.1.29)
DH5a_AziR_reorientated_DnaA,92385,93411,=>,L-threonine 3-dehydrogenase,CDS,L-threonine 3-dehydrogenase (EC 1.1.1.103)
DH5a_AziR_reorientated_DnaA,93649,94684,=>,UDP-glucuronate:LPS,CDS,UDP-glucuronate:LPS(HepIII) glycosyltransferase WaaH
DH5a_AziR_reorientated_DnaA,94670,95630,<=,"Putative periplasmic protein YibQ, distant homo",CDS,"Putative periplasmic protein YibQ, distant homology with nucleoside diphosphatase and polysaccharide deacetylase"
DH5a_AziR_reorientated_DnaA,95633,96893,<=,Murein hydrolase activator EnvC,CDS,Murein hydrolase activator EnvC
DH5a_AziR_reorientated_DnaA,96926,98471,<=,"2,3-bisphosphoglycerate-independent phosphoglyc",CDS,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase (EC 5.4.2.12)"
DH5a_AziR_reorientated_DnaA,98715,99147,=>,Rhodanese-related sulfurtransferase YibN,CDS,Rhodanese-related sulfurtransferase YibN
DH5a_AziR_reorientated_DnaA,99288,99540,=>,Glutaredoxin 3,CDS,Glutaredoxin 3 (Grx3)
DH5a_AziR_reorientated_DnaA,99602,100070,=>,Protein-export protein SecB,CDS,Protein-export protein SecB (maintains pre-export unfolded state)
DH5a_AziR_reorientated_DnaA,100069,101089,=>,Glycerol-3-phosphate dehydrogenase [NAD,CDS,Glycerol-3-phosphate dehydrogenase [NAD(P)+] (EC 1.1.1.94)
DH5a_AziR_reorientated_DnaA,101168,101990,=>,Serine acetyltransferase,CDS,Serine acetyltransferase (EC 2.3.1.30)
DH5a_AziR_reorientated_DnaA,102042,102516,<=,tRNA,CDS,tRNA (cytidine(34)-2'-O)-methyltransferase (EC 2.1.1.207)
DH5a_AziR_reorientated_DnaA,102713,103904,<=,L-lactate dehydrogenase,CDS,L-lactate dehydrogenase
DH5a_AziR_reorientated_DnaA,103900,104677,<=,Lactate-responsive regulator LldR in Enterobact,CDS,"Lactate-responsive regulator LldR in Enterobacteria, GntR family"
DH5a_AziR_reorientated_DnaA,104676,106332,<=,L-lactate permease,CDS,L-lactate permease
DH5a_AziR_reorientated_DnaA,106703,107066,<=,Uncharacterized protein YibL,CDS,Uncharacterized protein YibL
DH5a_AziR_reorientated_DnaA,107350,107560,=>,Uncharacterized protein YibT,CDS,Uncharacterized protein YibT
DH5a_AziR_reorientated_DnaA,107571,108159,<=,Mannitol operon repressor,CDS,Mannitol operon repressor
DH5a_AziR_reorientated_DnaA,108158,109307,<=,Mannitol-1-phosphate 5-dehydrogenase,CDS,Mannitol-1-phosphate 5-dehydrogenase (EC 1.1.1.17)
DH5a_AziR_reorientated_DnaA,109536,111450,<=,"PTS system, mannitol-specific IIC component / P",CDS,"PTS system, mannitol-specific IIC component / PTS system, mannitol-specific IIB component (EC 2.7.1.197) / PTS system, mannitol-specific IIA component (EC 2.7.1.197)"
DH5a_AziR_reorientated_DnaA,111986,112349,=>,GTPase,CDS,GTPase (EC 3.6.1.-)
DH5a_AziR_reorientated_DnaA,112351,113488,=>,Inner membrane protein YibH,CDS,Inner membrane protein YibH
DH5a_AziR_reorientated_DnaA,115092,115554,<=,Uncharacterized protein YibG,CDS,Uncharacterized protein YibG
DH5a_AziR_reorientated_DnaA,115808,116504,<=,core protein,CDS,core protein
DH5a_AziR_reorientated_DnaA,116551,117394,<=,Protein YibA,CDS,Protein YibA
DH5a_AziR_reorientated_DnaA,117414,121548,<=,Protein RhsA,CDS,Protein RhsA
DH5a_AziR_reorientated_DnaA,121633,121777,<=,hypothetical protein,CDS,hypothetical protein
DH5a_AziR_reorientated_DnaA,121775,122384,=>,Uncharacterized GST-like protein YibF,CDS,Uncharacterized GST-like protein YibF
DH5a_AziR_reorientated_DnaA,122481,123873,=>,L-seryl-tRNA,CDS,L-seryl-tRNA(Sec) selenium transferase (EC 2.9.1.1)
DH5a_AziR_reorientated_DnaA,123869,125714,=>,Selenocysteine-specific translation elongation,CDS,Selenocysteine-specific translation elongation factor
DH5a_AziR_reorientated_DnaA,125903,127055,=>,Alcohol dehydrogenase,CDS,Alcohol dehydrogenase (EC 1.1.1.1)
DH5a_AziR_reorientated_DnaA,127219,128758,=>,Aldehyde dehydrogenase B,CDS,Aldehyde dehydrogenase B (EC 1.2.1.22)
DH5a_AziR_reorientated_DnaA,128976,129189,<=,hypothetical protein,CDS,hypothetical protein
DH5a_AziR_reorientated_DnaA,129302,129626,=>,GTPase,CDS,GTPase (EC 3.6.1.-)
DH5a_AziR_reorientated_DnaA,129631,130768,=>,Inner membrane protein YiaV,CDS,Inner membrane protein YiaV
DH5a_AziR_reorientated_DnaA,130764,131739,<=,"Transcriptional regulator YiaU, LysR family",CDS,"Transcriptional regulator YiaU, LysR family"
DH5a_AziR_reorientated_DnaA,131862,132603,=>,Outer membrane protein YiaT,CDS,Outer membrane protein YiaT
DH5a_AziR_reorientated_DnaA,132949,133645,<=,L-ribulose-5-phosphate 4-epimerase SgbE,CDS,L-ribulose-5-phosphate 4-epimerase SgbE (EC 5.1.3.4)
DH5a_AziR_reorientated_DnaA,133638,134499,<=,L-xylulose 5-phosphate 3-epimerase,CDS,L-xylulose 5-phosphate 3-epimerase (EC 5.1.3.-) homolog
DH5a_AziR_reorientated_DnaA,134491,135154,<=,3-keto-L-gulonate 6-phosphate decarboxylase hom,CDS,3-keto-L-gulonate 6-phosphate decarboxylase homolog
DH5a_AziR_reorientated_DnaA,135150,136647,<=,L-xylulose/3-keto-L-gulonate kinase,CDS,L-xylulose/3-keto-L-gulonate kinase (EC 2.7.1.-)
DH5a_AziR_reorientated_DnaA,136650,137637,<=,"2,3-diketo-L-gulonate-binding periplasmic prote",CDS,"2,3-diketo-L-gulonate-binding periplasmic protein yiaO precursor"
DH5a_AziR_reorientated_DnaA,137649,138927,<=,"2,3-diketo-L-gulonate TRAP transporter large pe",CDS,"2,3-diketo-L-gulonate TRAP transporter large permease protein yiaN"
DH5a_AziR_reorientated_DnaA,138929,139403,<=,"2,3-diketo-L-gulonate TRAP transporter small pe",CDS,"2,3-diketo-L-gulonate TRAP transporter small permease protein yiaM"
DH5a_AziR_reorientated_DnaA,139520,139988,<=,Uncharacterized protein YiaL,CDS,Uncharacterized protein YiaL
DH5a_AziR_reorientated_DnaA,139999,140998,<=,3-dehydro-L-gulonate 2-dehydrogenase,CDS,3-dehydro-L-gulonate 2-dehydrogenase (EC 1.1.1.130)
DH5a_AziR_reorientated_DnaA,141198,142047,=>,"Transcriptional regulator yiaJ, IclR family",CDS,"Transcriptional regulator yiaJ, IclR family"
DH5a_AziR_reorientated_DnaA,142148,142622,=>,Putative electron transport protein YsaA,CDS,Putative electron transport protein YsaA
DH5a_AziR_reorientated_DnaA,142772,144026,<=,Valine--pyruvate aminotransferase,CDS,Valine--pyruvate aminotransferase (EC 2.6.1.66)
DH5a_AziR_reorientated_DnaA,144203,146234,<=,Periplasmic alpha-amylase,CDS,Periplasmic alpha-amylase (EC 3.2.1.1)
DH5a_AziR_reorientated_DnaA,146553,147378,=>,BAX protein,CDS,BAX protein
DH5a_AziR_reorientated_DnaA,147573,148752,<=,Xylose activator XylR,CDS,Xylose activator XylR (AraC family)
DH5a_AziR_reorientated_DnaA,148829,150011,<=,"D-xylose ABC transporter, permease protein XylH",CDS,"D-xylose ABC transporter, permease protein XylH"
DH5a_AziR_reorientated_DnaA,149988,151530,<=,"D-xylose ABC transporter, ATP-binding protein XylG",CDS,"D-xylose ABC transporter, ATP-binding protein XylG"
DH5a_AziR_reorientated_DnaA,151607,152600,<=,"D-xylose ABC transporter, substrate-binding pro",CDS,"D-xylose ABC transporter, substrate-binding protein XylF"
DH5a_AziR_reorientated_DnaA,152965,154288,=>,Xylose isomerase,CDS,Xylose isomerase (EC 5.3.1.5)
DH5a_AziR_reorientated_DnaA,154359,155814,=>,Xylulose kinase,CDS,Xylulose kinase (EC 2.7.1.17)
DH5a_AziR_reorientated_DnaA,155982,156324,=>,Inner membrane protein YiaB,CDS,Inner membrane protein YiaB
DH5a_AziR_reorientated_DnaA,156369,156807,=>,Inner membrane protein YiaA,CDS,Inner membrane protein YiaA
DH5a_AziR_reorientated_DnaA,156848,157844,<=,Inner membrane protein YiaH,CDS,Inner membrane protein YiaH
DH5a_AziR_reorientated_DnaA,158018,158318,=>,Uncharacterized lipoprotein YsaB precursor,CDS,Uncharacterized lipoprotein YsaB precursor
DH5a_AziR_reorientated_DnaA,158412,159324,=>,Glycyl-tRNA synthetase alpha chain,CDS,Glycyl-tRNA synthetase alpha chain (EC 6.1.1.14)
DH5a_AziR_reorientated_DnaA,159333,161403,=>,Glycyl-tRNA synthetase beta chain,CDS,Glycyl-tRNA synthetase beta chain (EC 6.1.1.14)
DH5a_AziR_reorientated_DnaA,161681,162533,<=,Putative transposase InsK for insertion sequenc,CDS,Putative transposase InsK for insertion sequence element IS150
DH5a_AziR_reorientated_DnaA,162529,163051,<=,Mobile element protein,CDS,Mobile element protein
DH5a_AziR_reorientated_DnaA,163130,163283,=>,Toxic component of a type I toxin-antitoxin sys,CDS,"Toxic component of a type I toxin-antitoxin system, HokA"
DH5a_AziR_reorientated_DnaA,163469,163682,<=,Cold shock protein of CSP family => CspA,CDS,Cold shock protein of CSP family => CspA (naming convention as in E.coli)
DH5a_AziR_reorientated_DnaA,163962,164253,<=,Antitoxin to RelE-like translational repressor,CDS,Antitoxin to RelE-like translational repressor toxin
DH5a_AziR_reorientated_DnaA,164686,165397,=>,Uncharacterized protein YiaF,CDS,Uncharacterized protein YiaF
DH5a_AziR_reorientated_DnaA,165446,166421,<=,"2-ketoaldonate reductase, broad specificity",CDS,"2-ketoaldonate reductase, broad specificity (EC 1.1.1.215)"
DH5a_AziR_reorientated_DnaA,166524,167184,<=,"Outer membrane porin, OmpA family",CDS,"Outer membrane porin, OmpA family"
DH5a_AziR_reorientated_DnaA,167336,169670,=>,Biotin sulfoxide reductase,CDS,Biotin sulfoxide reductase (EC 1.-.-.-) / Free methionine-(S)-sulfoxide reductase
DH5a_AziR_reorientated_DnaA,169638,170079,<=,Uncharacterized N-acetyltransferase YiaC,CDS,Uncharacterized N-acetyltransferase YiaC
DH5a_AziR_reorientated_DnaA,170075,170639,<=,DNA-3-methyladenine glycosylase,CDS,DNA-3-methyladenine glycosylase (EC 3.2.2.20)
DH5a_AziR_reorientated_DnaA,170796,171495,=>,Uncharacterized protein YhjY,CDS,Uncharacterized protein YhjY
DH5a_AziR_reorientated_DnaA,171723,172932,=>,Putative resistance protein,CDS,Putative resistance protein
DH5a_AziR_reorientated_DnaA,173255,174947,=>,Kdo2-lipid A phosphoethanolamine transferase EptB,CDS,Kdo2-lipid A phosphoethanolamine transferase EptB (EC 2.7.8.42)
DH5a_AziR_reorientated_DnaA,175518,175674,=>,hypothetical protein,CDS,hypothetical protein
