"","Sample","Insertion","Evidence","position","concentration","assay"
"1","RS1 1.10 CTX 0 3","IS10R","Plasmidsaurus amplicon ",8953,"CTX 0","1.10"
"2","RS1 1.10 CTX 0 7","IS10R","Plasmidsaurus amplicon ",8803,"CTX 0","1.10"
"3","RS1 1.10 CTX 0 9","IS1A","Plasmidsaurus amplicon ",8921,"CTX 0","1.10"
"4","RS1 1.10 CTX 0 11","ISKpn25","Plasmidsaurus amplicon (IRR)",0,"CTX 0","1.10"
"5","RS1 1.10 CTX 0 13","IS10R","Plasmidsaurus amplicon ",8954,"CTX 0","1.10"
"6","RS1 1.10 CTX 0 33","IS10R","Plasmidsaurus amplicon ",8948,"CTX 0","1.10"
"7","RS1 1.10 CTX 0 45","IS10R","PCR",0,"CTX 0","1.10"
"8","RS1 1.10 CTX 32 2","IS1A","Plasmidsaurus amplicon ",0,"CTX 32","1.10"
"9","RS1 1.10 CTX 32 4","IS10R","PCR",0,"CTX 32","1.10"
"10","RS1 1.10 CTX 32 6","IS10R","Plasmidsaurus amplicon ",8600,"CTX 32","1.10"
"11","RS1 1.10 CTX 32 11","IS1A","Plasmidsaurus amplicon ",9051,"CTX 32","1.10"
"12","RS1 1.10 CTX 32 12","IS5","Plasmidsaurus amplicon ",8787,"CTX 32","1.10"
"13","RS1 1.10 CTX 32 20","IS1A","Plasmidsaurus amplicon ",9047,"CTX 32","1.10"
"14","RS1 1.10 CTX 32 28","IS10R","Plasmidsaurus amplicon ",8602,"CTX 32","1.10"
"15","RS1 1.10 CTX 32 33","IS10R","Plasmidsaurus amplicon ",9025,"CTX 32","1.10"
"16","RS1 1.10 CTX 32 40","IS10R","Plasmidsaurus amplicon ",8599,"CTX 32","1.10"
"17","RS1 1.10 CTX 32 43","ISKpn25","Plasmidsaurus amplicon (IRR)",0,"CTX 32","1.10"
"18","RS1 1.10 CTX 320 1","IS5","Plasmidsaurus amplicon ",8787,"CTX 320","1.10"
"19","RS1 1.10 CTX 320 2","Tn2","PCR",0,"CTX 320","1.10"
"20","RS1 1.10 CTX 320 3","IS1A","Plasmidsaurus amplicon ",9051,"CTX 320","1.10"
"21","RS1 1.10 CTX 320 12","IS10R","Plasmidsaurus amplicon ",9026,"CTX 320","1.10"
"22","RS1 1.10 CTX 320 14","ISKpn25","PCR",0,"CTX 320","1.10"
"23","RS1 1.10 CTX 320 23","IS10R","Plasmidsaurus amplicon ",0,"CTX 320","1.10"
"24","RS1 1.10 CTX 320 45","IS1A","PCR",0,"CTX 320","1.10"
"25","RS1 1.10 CTX 3200 3","IS10R","Plasmidsaurus amplicon ",8954,"CTX 3200","1.10"
"26","RS1 1.11 CTX 0 1","Tn2","Plasmidsaurus plasmid",8441,"CTX 0","1.11"
"27","RS1 1.11 CTX 0 3","Tn2","Plasmidsaurus amplicon + plasmid",9415,"CTX 0","1.11"
"28","RS1 1.11 CTX 32 3","ISKpn25","Plasmidsaurus amplicon",0,"CTX 32","1.11"
"29","RS1 1.11 CTX 32 5","Tn2","Plasmidsaurus plasmid",8898,"CTX 32","1.11"
"30","RS1 1.11 CTX 32 22","Tn2","Plasmidsaurus plasmid",8665,"CTX 32","1.11"
"31","RS1 1.11 CTX 32 25","Tn2","PCR + virtual gel ",9182,"CTX 32","1.11"
"32","RS1 1.11 CTX 32 44","IS1A","Plasmidsaurus amplicon",8840,"CTX 32","1.11"
"33","RS1 1.11 CTX 320 1","IS1A","Plasmidsaurus amplicon  + plasmid",8618,"CTX 320","1.11"
"34","RS1 1.11 CTX 320 2","Tn2","Plasmidsaurus plasmid",8441,"CTX 320","1.11"
"35","RS1 1.11 CTX 320 6","ISKpn25","Plasmidsaurus amplicon",0,"CTX 320","1.11"
"36","RS1 1.11 CTX 320 8","IS5","Plasmidsaurus plasmid",8787,"CTX 320","1.11"
"37","RS1 1.11 CTX 320 11","ISKpn25","Plasmidsaurus amplicon/plasmid",9009,"CTX 320","1.11"
"38","RS1 1.11 CTX 320 15","IS1A","PCR",0,"CTX 320","1.11"
"39","RS1 1.14 CTX 0 1","ISKpn25","Plasmidsaurus amplicon",0,"CTX 0","1.14"
"40","RS1 1.14 CTX 0 2","Tn2","Plasmidsarus plasmid",9056,"CTX 0","1.14"
"41","RS1 1.14 CTX 0 6","Tn2","Plasmidsarus plasmid",9079,"CTX 0","1.14"
"42","RS1 1.14 CTX 0 24","ISKpn25","Plasmidsaurus amplicon + plasmid ",8930,"CTX 0","1.14"
"43","RS1 1.14 CTX 0 31","Tn2","Plasmidsarus plasmid",9365,"CTX 0","1.14"
"44","RS1 1.14 CTX 0 32","IS10R","Plasmidsaurus amplicon",8475,"CTX 0","1.14"
"45","RS1 1.14 CTX 0 43","Tn2","plasmidsarus plasmid + PCR",9415,"CTX 0","1.14"
"46","RS1 1.14 CTX 0 48","No insertion","plasmidsarus plasmid + PCR",0,"CTX 0","1.14"
"47","RS1 1.14 CTX 32 1","IS10R","Plasmidsaurus amplicon",8481,"CTX 32","1.14"
"48","RS1 1.14 CTX 32 3","IS10R","PCR",0,"CTX 32","1.14"
"49","RS1 1.14 CTX 320 5","IS5","Plasmidsaurus amplicon + Plasmid ",8787,"CTX 320","1.14"
