plasmid,start,end,direction,gene_name,type,product
pD25466_reorientated_repA2,0,252,=>,repA2,CDS,Replication regulatory protein repA2 (Protein copB)
pD25466_reorientated_repA2,553,1411,=>,DNA replication protein,CDS,DNA replication protein
pD25466_reorientated_repA2,1704,1839,<=,hypothetical protein,CDS,hypothetical protein
pD25466_reorientated_repA2,2047,2236,<=,hypothetical protein,CDS,hypothetical protein
pD25466_reorientated_repA2,2102,2117,<=,classifier_predicted_region,misc_feature,Gentamicin resistance predicted region
pD25466_reorientated_repA2,2337,2487,<=,hypothetical protein,CDS,hypothetical protein
pD25466_reorientated_repA2,2368,2383,<=,classifier_predicted_region,misc_feature,Cefoxitin resistance predicted region
pD25466_reorientated_repA2,2727,3969,=>,hypothetical protein,CDS,hypothetical protein
pD25466_reorientated_repA2,3976,4870,=>,hypothetical protein,CDS,hypothetical protein
pD25466_reorientated_repA2,4873,6871,=>,hypothetical protein,CDS,hypothetical protein
pD25466_reorientated_repA2,6867,7779,=>,hypothetical protein,CDS,hypothetical protein
pD25466_reorientated_repA2,8164,8497,=>,hypothetical protein,CDS,hypothetical protein
pD25466_reorientated_repA2,8509,9013,=>,Transposase,CDS,Transposase
pD25466_reorientated_repA2,9079,9343,=>,TIORF34 protein,CDS,TIORF34 protein
pD25466_reorientated_repA2,9432,9906,=>,hypothetical protein,CDS,hypothetical protein
pD25466_reorientated_repA2,10055,10105,<=,IRR IS26,misc_feature,unknown
pD25466_reorientated_repA2,10107,10302,<=,Mobile element protein,CDS,Mobile element protein
pD25466_reorientated_repA2,10443,13410,<=,TnAs1,CDS,Transposase
pD25466_reorientated_repA2,13413,13947,<=,Mobile element protein,CDS,Mobile element protein
pD25466_reorientated_repA2,13908,14728,<=,IS26,misc_feature,unknown
pD25466_reorientated_repA2,14819,15461,<=,catA2,CDS,Chloramphenicol O-acetyltransferase (EC 2.3.1.28) => CatA2 family
pD25466_reorientated_repA2,15610,16111,<=,hypothetical protein,CDS,hypothetical protein
pD25466_reorientated_repA2,16127,16947,<=,IS26,misc_feature,unknown
pD25466_reorientated_repA2,16190,16895,=>,Mobile element protein,CDS,Mobile element protein
pD25466_reorientated_repA2,16928,17132,<=,hypothetical protein,CDS,hypothetical protein
pD25466_reorientated_repA2,17090,17105,<=,classifier_predicted_region,misc_feature,Tobramycin resistance predicted region
