plasmid,start,end,direction,gene_name,type,product
pBACpAK-KAN_reorientated_repE,0,756,=>,repE,CDS,unknown
pBACpAK-KAN_reorientated_repE,758,1009,=>,incC,misc_feature,unknown
pBACpAK-KAN_reorientated_repE,1334,2510,=>,sopA,CDS,unknown
pBACpAK-KAN_reorientated_repE,2509,3481,=>,sopB,CDS,unknown
pBACpAK-KAN_reorientated_repE,3553,4027,=>,sopC,misc_feature,unknown
pBACpAK-KAN_reorientated_repE,4126,4273,=>,yuaZ (fragment),CDS,unknown
pBACpAK-KAN_reorientated_repE,4286,4685,<=,cos,misc_feature,unknown
pBACpAK-KAN_reorientated_repE,4789,4889,=>,bom (fragment),misc_feature,unknown
pBACpAK-KAN_reorientated_repE,4894,5051,<=,lacZ-alpha (fragment),CDS,unknown
pBACpAK-KAN_reorientated_repE,5074,5131,=>,MCS,misc_feature,unknown
pBACpAK-KAN_reorientated_repE,5300,5364,<=,lacI (fragment),CDS,unknown
pBACpAK-KAN_reorientated_repE,5537,6347,<=,KanR,CDS,unknown
pBACpAK-KAN_reorientated_repE,6516,6541,=>,rop (fragment),CDS,unknown
pBACpAK-KAN_reorientated_repE,6669,7014,=>,resD (fragment),CDS,unknown
pBACpAK-KAN_reorientated_repE,7413,7509,<=,rexA (fragment),CDS,unknown
pBACpAK-KAN_reorientated_repE,7621,8335,<=,-lambda repressor,repressor,unknown
pBACpAK-KAN_reorientated_repE,8345,8362,=>,OR3,regulatory,unknown
pBACpAK-KAN_reorientated_repE,8368,8385,=>,OR2,regulatory,unknown
pBACpAK-KAN_reorientated_repE,8392,8409,=>,OR1,regulatory,unknown
pBACpAK-KAN_reorientated_repE,8392,8409,=>,PR -10,misc_feature,unknown
pBACpAK-KAN_reorientated_repE,8435,8501,=>,cro (fragment),CDS,unknown
pBACpAK-KAN_reorientated_repE,8558,8660,=>,TcR (fragment),CDS,unknown
pBACpAK-KAN_reorientated_repE,8683,9889,=>,tetA,CDS,unknown
pBACpAK-KAN_reorientated_repE,10004,10151,<=,tetC (fragment),CDS,unknown
pBACpAK-KAN_reorientated_repE,10193,10253,=>,VFUS_VACC6 (fragment),CDS,unknown
pBACpAK-KAN_reorientated_repE,10268,10883,=>,oriV,rep_origin,unknown
pBACpAK-KAN_reorientated_repE,10958,11178,=>,ori2,rep_origin,unknown
