plasmid,start,end,direction,gene_name,type,product
RS2_0_pBACpAK-KAN_reorientated,0,615,=>,oriV,rep_origin,unknown
RS2_0_pBACpAK-KAN_reorientated,690,910,=>,ori2,rep_origin,unknown
RS2_0_pBACpAK-KAN_reorientated,1000,1756,=>,repE,CDS,unknown
RS2_0_pBACpAK-KAN_reorientated,1758,2009,=>,incC,misc_feature,unknown
RS2_0_pBACpAK-KAN_reorientated,2334,3510,=>,sopA,CDS,unknown
RS2_0_pBACpAK-KAN_reorientated,3509,4481,=>,sopB,CDS,unknown
RS2_0_pBACpAK-KAN_reorientated,4553,5027,=>,sopC,misc_feature,unknown
RS2_0_pBACpAK-KAN_reorientated,5126,5273,=>,yuaZ (fragment),CDS,unknown
RS2_0_pBACpAK-KAN_reorientated,5286,5685,<=,cos,misc_feature,unknown
RS2_0_pBACpAK-KAN_reorientated,5789,5889,=>,bom (fragment),misc_feature,unknown
RS2_0_pBACpAK-KAN_reorientated,5894,6051,<=,lacZα (fragment),CDS,unknown
RS2_0_pBACpAK-KAN_reorientated,6074,6131,=>,MCS,misc_feature,unknown
RS2_0_pBACpAK-KAN_reorientated,6300,6364,<=,lacI (fragment),CDS,unknown
RS2_0_pBACpAK-KAN_reorientated,6537,7347,<=,KanR,aph(3′)-Ia,unknown
RS2_0_pBACpAK-KAN_reorientated,7516,7541,=>,rop (fragment),CDS,unknown
RS2_0_pBACpAK-KAN_reorientated,7669,8014,=>,resD (fragment),CDS,unknown
RS2_0_pBACpAK-KAN_reorientated,8413,8509,<=,rexA (fragment),CDS,unknown
RS2_0_pBACpAK-KAN_reorientated,8621,9335,<=,λ repressor,repressor,unknown
RS2_0_pBACpAK-KAN_reorientated,9435,9501,=>,cro (fragment),CDS,unknown
RS2_0_pBACpAK-KAN_reorientated,9558,9660,=>,TcR (fragment),CDS,unknown
RS2_0_pBACpAK-KAN_reorientated,9683,10889,=>,TcR,CDS,unknown
RS2_0_pBACpAK-KAN_reorientated,11004,11151,<=,tetC (fragment),CDS,unknown
RS2_0_pBACpAK-KAN_reorientated,11193,11253,=>,VFUS_VACC6 (fragment),CDS,unknown
RS2.2_18hr_CTX_3200_15L_IS186B_reorientated,0,599,=>,oriV,rep_origin,unknown
RS2.2_18hr_CTX_3200_15L_IS186B_reorientated,653,1763,=>,insL1,insert,unknown
RS2.2_18hr_CTX_3200_15L_IS186B_reorientated,1936,1966,=>,oriV (fragment),rep_origin,unknown
RS2.2_18hr_CTX_3200_15L_IS186B_reorientated,2039,2259,=>,ori2,rep_origin,unknown
RS2.2_18hr_CTX_3200_15L_IS186B_reorientated,2349,3105,=>,repE,CDS,unknown
RS2.2_18hr_CTX_3200_15L_IS186B_reorientated,3107,3358,=>,incC,misc_feature,unknown
RS2.2_18hr_CTX_3200_15L_IS186B_reorientated,3683,4859,=>,sopA,CDS,unknown
RS2.2_18hr_CTX_3200_15L_IS186B_reorientated,4858,5830,=>,sopB,CDS,unknown
RS2.2_18hr_CTX_3200_15L_IS186B_reorientated,5902,6376,=>,sopC,misc_feature,unknown
RS2.2_18hr_CTX_3200_15L_IS186B_reorientated,6475,6622,=>,YUAZ_ECO57 (fragment),CDS,unknown
RS2.2_18hr_CTX_3200_15L_IS186B_reorientated,6635,7034,<=,cos,misc_feature,unknown
RS2.2_18hr_CTX_3200_15L_IS186B_reorientated,7138,7238,=>,bom (fragment),misc_feature,unknown
RS2.2_18hr_CTX_3200_15L_IS186B_reorientated,7243,7400,<=,lacZ-alpha (fragment),CDS,unknown
RS2.2_18hr_CTX_3200_15L_IS186B_reorientated,7423,7480,=>,MCS,misc_feature,unknown
RS2.2_18hr_CTX_3200_15L_IS186B_reorientated,7649,7713,<=,lacI (fragment),CDS,unknown
RS2.2_18hr_CTX_3200_15L_IS186B_reorientated,7886,8696,<=,KanR,aph(3′)-Ia,unknown
RS2.2_18hr_CTX_3200_15L_IS186B_reorientated,8864,8889,=>,rop (fragment),CDS,unknown
RS2.2_18hr_CTX_3200_15L_IS186B_reorientated,9017,9362,=>,REDF_ECOLI (fragment),CDS,unknown
RS2.2_18hr_CTX_3200_15L_IS186B_reorientated,9761,9857,<=,REXA_LAMBD (fragment),CDS,unknown
RS2.2_18hr_CTX_3200_15L_IS186B_reorientated,9969,10682,<=,#NAME?,repressor,unknown
RS2.2_18hr_CTX_3200_15L_IS186B_reorientated,10782,10848,=>,RCRO_LAMBD (fragment),CDS,unknown
RS2.2_18hr_CTX_3200_15L_IS186B_reorientated,10905,11007,=>,TcR (fragment),CDS,unknown
RS2.2_18hr_CTX_3200_15L_IS186B_reorientated,11030,12236,=>,TcR,CDS,unknown
RS2.2_18hr_CTX_3200_15L_IS186B_reorientated,12351,12498,<=,TETC_ECOLX (fragment),CDS,unknown
RS2.2_18hr_CTX_3200_15L_IS186B_reorientated,12540,12600,=>,VFUS_VACC6 (fragment),CDS,unknown
RS2.4_CTX_0_10_IS10R_reorientated,0,615,=>,oriV,rep_origin,unknown
RS2.4_CTX_0_10_IS10R_reorientated,690,910,=>,ori2,rep_origin,unknown
RS2.4_CTX_0_10_IS10R_reorientated,1000,1756,=>,repE,CDS,unknown
RS2.4_CTX_0_10_IS10R_reorientated,1758,2009,=>,incC,misc_feature,unknown
RS2.4_CTX_0_10_IS10R_reorientated,2334,3510,=>,sopA,CDS,unknown
RS2.4_CTX_0_10_IS10R_reorientated,3509,4481,=>,sopB,CDS,unknown
RS2.4_CTX_0_10_IS10R_reorientated,4553,5027,=>,sopC,misc_feature,unknown
RS2.4_CTX_0_10_IS10R_reorientated,5126,5273,=>,YUAZ_ECO57 (fragment),CDS,unknown
RS2.4_CTX_0_10_IS10R_reorientated,5286,5685,<=,cos,misc_feature,unknown
RS2.4_CTX_0_10_IS10R_reorientated,5894,6051,<=,lacZ-alpha (fragment),CDS,unknown
RS2.4_CTX_0_10_IS10R_reorientated,6074,6131,=>,MCS,misc_feature,unknown
RS2.4_CTX_0_10_IS10R_reorientated,6300,6364,<=,lacI (fragment),CDS,unknown
RS2.4_CTX_0_10_IS10R_reorientated,6537,7347,<=,KanR,aph(3′)-Ia,unknown
RS2.4_CTX_0_10_IS10R_reorientated,7516,7541,=>,rop (fragment),CDS,unknown
RS2.4_CTX_0_10_IS10R_reorientated,7669,8014,=>,REDF_ECOLI (fragment),CDS,unknown
RS2.4_CTX_0_10_IS10R_reorientated,8413,8509,<=,REXA_LAMBD (fragment),CDS,unknown
RS2.4_CTX_0_10_IS10R_reorientated,8621,8826,<=,#NAME?,repressor,unknown
RS2.4_CTX_0_10_IS10R_reorientated,8826,10155,<=,IS10R,insert,unknown
RS2.4_CTX_0_10_IS10R_reorientated,10155,10673,<=,#NAME?,repressor,unknown
RS2.4_CTX_0_10_IS10R_reorientated,10773,10839,=>,RCRO_LAMBD (fragment),CDS,unknown
RS2.4_CTX_0_10_IS10R_reorientated,10896,10998,=>,TcR (fragment),CDS,unknown
RS2.4_CTX_0_10_IS10R_reorientated,11021,12227,=>,TcR,CDS,unknown
RS2.4_CTX_0_10_IS10R_reorientated,12342,12489,<=,TETC_ECOLX (fragment),CDS,unknown
RS2.4_CTX_0_10_IS10R_reorientated,12531,12591,=>,VFUS_VACC6 (fragment),CDS,unknown
RS2.4_CTX_0_22_Tn1000_reorientated,0,615,<=,oriV,rep_origin,unknown
RS2.4_CTX_0_22_Tn1000_reorientated,690,910,<=,ori2,rep_origin,unknown
RS2.4_CTX_0_22_Tn1000_reorientated,1000,1756,=>,repE,CDS,unknown
RS2.4_CTX_0_22_Tn1000_reorientated,1758,2009,=>,incC,misc_feature,unknown
RS2.4_CTX_0_22_Tn1000_reorientated,2334,3510,=>,sopA,CDS,unknown
RS2.4_CTX_0_22_Tn1000_reorientated,3509,4481,=>,sopB,CDS,unknown
RS2.4_CTX_0_22_Tn1000_reorientated,4553,5027,=>,sopC,misc_feature,unknown
RS2.4_CTX_0_22_Tn1000_reorientated,5126,5273,=>,YUAZ_ECO57 (fragment),CDS,unknown
RS2.4_CTX_0_22_Tn1000_reorientated,5286,5685,<=,cos,misc_feature,unknown
RS2.4_CTX_0_22_Tn1000_reorientated,5894,6051,<=,lacZ-alpha (fragment),CDS,unknown
RS2.4_CTX_0_22_Tn1000_reorientated,6074,6131,=>,MCS,misc_feature,unknown
RS2.4_CTX_0_22_Tn1000_reorientated,6300,6364,<=,lacI (fragment),CDS,unknown
RS2.4_CTX_0_22_Tn1000_reorientated,6537,7347,<=,KanR,aph(3′)-Ia,unknown
RS2.4_CTX_0_22_Tn1000_reorientated,7517,7542,=>,rop (fragment),CDS,unknown
RS2.4_CTX_0_22_Tn1000_reorientated,7670,8015,=>,REDF_ECOLI (fragment),CDS,unknown
RS2.4_CTX_0_22_Tn1000_reorientated,8414,8510,<=,REXA_LAMBD (fragment),CDS,unknown
RS2.4_CTX_0_22_Tn1000_reorientated,8622,8766,<=,#NAME?,repressor,unknown
RS2.4_CTX_0_22_Tn1000_reorientated,8766,14747,=>,Tn1000,insert,unknown
RS2.4_CTX_0_22_Tn1000_reorientated,14747,15322,<=,#NAME?,repressor,unknown
RS2.4_CTX_0_22_Tn1000_reorientated,15422,15488,=>,RCRO_LAMBD (fragment),CDS,unknown
RS2.4_CTX_0_22_Tn1000_reorientated,15545,15647,=>,TcR (fragment),CDS,unknown
RS2.4_CTX_0_22_Tn1000_reorientated,15670,16876,=>,TcR,CDS,unknown
RS2.4_CTX_0_22_Tn1000_reorientated,16991,17138,<=,TETC_ECOLX (fragment),CDS,unknown
RS2.4_CTX_0_22_Tn1000_reorientated,17180,17240,=>,VFUS_VACC6 (fragment),CDS,unknown
RS2.4_CTX_320_6_ISKpn25_reorientated,0,615,=>,oriV,rep_origin,unknown
RS2.4_CTX_320_6_ISKpn25_reorientated,690,910,=>,ori2,rep_origin,unknown
RS2.4_CTX_320_6_ISKpn25_reorientated,1000,1756,=>,repE,CDS,unknown
RS2.4_CTX_320_6_ISKpn25_reorientated,1758,2009,=>,incC,misc_feature,unknown
RS2.4_CTX_320_6_ISKpn25_reorientated,2334,3510,=>,sopA,CDS,unknown
RS2.4_CTX_320_6_ISKpn25_reorientated,3509,4481,=>,sopB,CDS,unknown
RS2.4_CTX_320_6_ISKpn25_reorientated,4553,5027,=>,sopC,misc_feature,unknown
RS2.4_CTX_320_6_ISKpn25_reorientated,5126,5273,=>,YUAZ_ECO57 (fragment),CDS,unknown
RS2.4_CTX_320_6_ISKpn25_reorientated,5286,5685,<=,cos,misc_feature,unknown
RS2.4_CTX_320_6_ISKpn25_reorientated,5894,6051,<=,lacZ-alpha (fragment),CDS,unknown
RS2.4_CTX_320_6_ISKpn25_reorientated,6074,6131,=>,MCS,misc_feature,unknown
RS2.4_CTX_320_6_ISKpn25_reorientated,6300,6364,<=,lacI (fragment),CDS,unknown
RS2.4_CTX_320_6_ISKpn25_reorientated,6537,7347,<=,KanR,aph(3′)-Ia,unknown
RS2.4_CTX_320_6_ISKpn25_reorientated,7515,7540,=>,rop (fragment),CDS,unknown
RS2.4_CTX_320_6_ISKpn25_reorientated,7668,8013,=>,REDF_ECOLI (fragment),CDS,unknown
RS2.4_CTX_320_6_ISKpn25_reorientated,8412,8508,<=,REXA_LAMBD (fragment),CDS,unknown
RS2.4_CTX_320_6_ISKpn25_reorientated,8620,9327,<=,#NAME?,repressor,unknown
RS2.4_CTX_320_6_ISKpn25_reorientated,9327,17481,=>,ISKpn25,insert,unknown
RS2.4_CTX_320_6_ISKpn25_reorientated,17596,17662,=>,RCRO_LAMBD (fragment),CDS,unknown
RS2.4_CTX_320_6_ISKpn25_reorientated,17719,17821,=>,TcR (fragment),CDS,unknown
RS2.4_CTX_320_6_ISKpn25_reorientated,17844,19050,=>,TcR,CDS,unknown
RS2.4_CTX_320_6_ISKpn25_reorientated,19165,19312,<=,TETC_ECOLX (fragment),CDS,unknown
RS2.4_CTX_320_6_ISKpn25_reorientated,19354,19414,=>,VFUS_VACC6 (fragment),CDS,unknown
RS2.5_CTX_0_38_Tn2_reorientated,0,615,<=,oriV,rep_origin,unknown
RS2.5_CTX_0_38_Tn2_reorientated,690,910,<=,ori2,rep_origin,unknown
RS2.5_CTX_0_38_Tn2_reorientated,1000,1756,=>,repE,CDS,unknown
RS2.5_CTX_0_38_Tn2_reorientated,1758,2009,=>,incC,misc_feature,unknown
RS2.5_CTX_0_38_Tn2_reorientated,2334,3510,=>,sopA,CDS,unknown
RS2.5_CTX_0_38_Tn2_reorientated,3509,4481,=>,sopB,CDS,unknown
RS2.5_CTX_0_38_Tn2_reorientated,4553,5027,=>,sopC,misc_feature,unknown
RS2.5_CTX_0_38_Tn2_reorientated,5126,5273,=>,YUAZ_ECO57 (fragment),CDS,unknown
RS2.5_CTX_0_38_Tn2_reorientated,5286,5685,<=,cos,misc_feature,unknown
RS2.5_CTX_0_38_Tn2_reorientated,5894,6051,<=,lacZ-alpha (fragment),CDS,unknown
RS2.5_CTX_0_38_Tn2_reorientated,6074,6131,=>,MCS,misc_feature,unknown
RS2.5_CTX_0_38_Tn2_reorientated,6300,6364,<=,lacI (fragment),CDS,unknown
RS2.5_CTX_0_38_Tn2_reorientated,6537,7347,<=,KanR,aph(3′)-Ia,unknown
RS2.5_CTX_0_38_Tn2_reorientated,7516,7541,=>,rop (fragment),CDS,unknown
RS2.5_CTX_0_38_Tn2_reorientated,7669,8014,=>,REDF_ECOLI (fragment),CDS,unknown
RS2.5_CTX_0_38_Tn2_reorientated,8413,8509,<=,REXA_LAMBD (fragment),CDS,unknown
RS2.5_CTX_0_38_Tn2_reorientated,8621,9335,<=,#NAME?,repressor,unknown
RS2.5_CTX_0_38_Tn2_reorientated,9435,9501,=>,RCRO_LAMBD (fragment),CDS,unknown
RS2.5_CTX_0_38_Tn2_reorientated,9558,9640,=>,TcR (fragment),CDS,unknown
RS2.5_CTX_0_38_Tn2_reorientated,9640,14590,<=,Tn2,insert,unknown
RS2.5_CTX_0_38_Tn2_reorientated,14638,15844,=>,TcR,CDS,unknown
RS2.5_CTX_0_38_Tn2_reorientated,15959,16106,<=,TETC_ECOLX (fragment),CDS,unknown
RS2.5_CTX_0_38_Tn2_reorientated,16148,16208,=>,VFUS_VACC6 (fragment),CDS,unknown
RS2.6_CTX_32_25_8_IS1A_reorientated,0,615,=>,oriV,rep_origin,unknown
RS2.6_CTX_32_25_8_IS1A_reorientated,690,910,=>,ori2,rep_origin,unknown
RS2.6_CTX_32_25_8_IS1A_reorientated,1000,1756,=>,repE,CDS,unknown
RS2.6_CTX_32_25_8_IS1A_reorientated,1758,2009,=>,incC,misc_feature,unknown
RS2.6_CTX_32_25_8_IS1A_reorientated,2334,3510,=>,sopA,CDS,unknown
RS2.6_CTX_32_25_8_IS1A_reorientated,3509,4481,=>,sopB,CDS,unknown
RS2.6_CTX_32_25_8_IS1A_reorientated,4553,5027,=>,sopC,misc_feature,unknown
RS2.6_CTX_32_25_8_IS1A_reorientated,5126,5273,=>,YUAZ_ECO57 (fragment),CDS,unknown
RS2.6_CTX_32_25_8_IS1A_reorientated,5286,5685,<=,cos,misc_feature,unknown
RS2.6_CTX_32_25_8_IS1A_reorientated,5894,6051,<=,lacZ-alpha (fragment),CDS,unknown
RS2.6_CTX_32_25_8_IS1A_reorientated,6074,6131,=>,MCS,misc_feature,unknown
RS2.6_CTX_32_25_8_IS1A_reorientated,6300,6364,<=,lacI (fragment),CDS,unknown
RS2.6_CTX_32_25_8_IS1A_reorientated,6537,7347,<=,KanR,aph(3′)-Ia,unknown
