,Sample,Insertion,Evidence,position,concentration,assay
1,RS2 2.4 CTX 0 4,IS10R,Plasmidsaurus amplicon,7825,CTX 0,2.4
2,RS2 2.4 CTX 0 5,ISKpn25,Plasmidsaurus RCA ,8259,CTX 0,2.4
3,RS2 2.4 CTX 0 9,IS10R,Plasmidsaurus amplicon,7857,CTX 0,2.4
4,RS2 2.4 CTX 0 12,Tn2,PCR,0,CTX 0,2.4
5,RS2 2.4 CTX 0 16,Tn1000,PCR,0,CTX 0,2.4
6,RS2 2.4 CTX 0 20,ISKpn25,Plasmidsaurus amplicon (ISKpn25 IRR) ,0,CTX 0,2.4
7,RS2 2.4 CTX 32 1,Tn1000,Plasmidsaurus RCA ,7718,CTX 32,2.4
8,RS2 2.4 CTX 32 3,Tn1000,Plasmidsaurus plasmid ,0,CTX 32,2.4
9,RS2 2.4 CTX 32 9,IS10R,Plasmidsaurus amplicon,7827,CTX 32,2.4
10,RS2 2.4 CTX 32 11,IS10R,Plasmidsaurus RCA ,7850,CTX 32,2.4
11,RS2 2.4 CTX 32 12,Tn1000,Plasmidsaurus RCA ,7903,CTX 32,2.4
12,RS2 2.4 CTX 32 28,ISKpn25,Plasmidsaurus amplicon (ISKpn25 IRR) ,8276,CTX 32,2.4
13,RS2 2.4 CTX 32 38,No insertion,NA,0,CTX 32,2.4
14,RS2 2.4 CTX 320 1,Tn1000,PCR,0,CTX 320,2.4
15,RS2 2.4 CTX 320 4,ISKpn25,Plasmidsaurus amplicon (ISKpn25 IRR) ,0,CTX 320,2.4
16,RS2 2.4 CTX 320 6,ISKpn25,Plasmidsaurus RCA,8329,CTX 320,2.4
17,RS2 2.4 CTX 320 18,ISKpn25,Plasmidsaurus RCA,8266,CTX 320,2.4
18,RS2 2.4 CTX 320 19,Tn1000,Plasmidsaurus RCA,8273,CTX 320,2.4
19,RS2 2.4 CTX 320 29,Tn2,PCR,0,CTX 320,2.4
20,RS2 2.4 CTX 320 44,IS10R,Plasmidsaurus amplicon,7825,CTX 320,2.4
21,RS2 2.4 CTX 320 46,ISKpn25,Plasmidsaurus RCA,8267,CTX 320,2.4
22,RS2 2.4 CTX 320 48,ISKpn25,Plasmidsaurus amplicon (ISKpn25 IRR) ,8320,CTX 320,2.4
23,RS2 2.4 CTX 3200 2,ISKpn25,Plasmidsaurus plasmid ,8262,CTX 3200,2.4
24,RS2 2.4 CTX 3200 4,ISKpn25,PCR,0,CTX 3200,2.4
25,RS2 2.4 CTX 3200 5,IS10R,Plasmidsaurus amplicon,7827,CTX 3200,2.4
26,RS2 2.4 CTX 3200 10,ISKpn25,Plasmidsaurus RCA,8134,CTX 3200,2.4
27,RS2 2.4 CTX 3200 12,ISKpn25,Plasmidsaurus RCA,8270,CTX 3200,2.4
28,RS2 2.4 CTX 3200 14,ISKpn25,Plasmidsaurus RCA,8266,CTX 3200,2.4
29,RS2 2.4 CTX 3200 19,Tn1000,Plasmidsaurus RCA,8167,CTX 3200,2.4
30,RS2 2.4 CTX 3200 24,ISKpn25,Plasmidsaurus plasmid   + PS virtual gel,8329,CTX 3200,2.4
31,RS2 2.4 CTX 3200 31,ISKpn25,Plasmidsaurus RCA,8259,CTX 3200,2.4
32,RS2 2.4 CTX 3200 33,IS10R,Plasmidsaurus RCA,7825,CTX 3200,2.4
33,RS2 2.5 CTX 0 3,Tn2,PCR,0,CTX 0,2.5
34,RS2 2.5 CTX 0 10,ISKpn25,Plasmidsaurus amplicon,8427,CTX 0,2.5
35,RS2 2.5 CTX 0 21,IS10R,Plasmidsaurus plasmid + virtual gel,7857,CTX 0,2.5
36,RS2 2.5 CTX 0 38,Tn2,Plasmidsaurus RCA,8637,CTX 0,2.5
37,RS2 2.5 CTX 32 17,Tn2,PCR,0,CTX 32,2.5
38,RS2 2.5 CTX 32 38,Tn2,Plasmidsaurus plasmid,8623,CTX 32,2.5
39,RS2 2.5 CTX 32 40,Tn2,Plasmidsaurus plasmid,8242,CTX 32,2.5
40,RS2 2.5 CTX 320 5,Tn2,PCR,0,CTX 320,2.5
41,RS2 2.5 CTX 320 6,Tn2,Plasmidsaurus plasmid,8523,CTX 320,2.5
42,RS2 2.5 CTX 320 33,Tn2,Plasmidsaurus plasmid,8426,CTX 320,2.5
43,RS2 2.5 CTX 320 35,Tn2,Plasmidsaurus plasmid,8673,CTX 320,2.5
44,RS2 2.5 CTX 320 44,Tn2,Plasmidsaurus plasmid,8425,CTX 320,2.5
45,RS2 2.5 CTX 3200 1,IS10R,PCR + PS virtual gel ,0,CTX 3200,2.5
46,RS2 2.5 CTX 3200 17,Tn2,Plasmidsaurus RCA,8428,CTX 3200,2.5
47,RS2 2.5 CTX 3200 22,Tn2,PCR,0,CTX 3200,2.5
48,RS2 2.5 CTX 3200 41,Tn2,Plasmidsaurus plasmid,8420,CTX 3200,2.5
